[1618510752338029] [ReadPayload] Status: Started new logger at ./read_payload.log
[1618510752338047] [ReadPayload] Payload filename: payload.jpeg
[1618510752355557] [ReadPayload] Pushing fragment: 450
[1618510752355563] [ReadPayload] Pushing fragment: 451
[1618510752355570] [ReadPayload] Pushing fragment: 452
[1618510752355577] [ReadPayload] Pushing fragment: 453
[1618510752355583] [ReadPayload] Pushing fragment: 454
[1618510752355589] [ReadPayload] Pushing fragment: 455
[1618510752355602] [ReadPayload] Pushing fragment: 456
[1618510752355608] [ReadPayload] Pushing fragment: 457
[1618510752355615] [ReadPayload] Pushing fragment: 458
[1618510752355622] [ReadPayload] Pushing fragment: 459
[1618510752355628] [ReadPayload] Pushing fragment: 460
[1618510752355635] [ReadPayload] Pushing fragment: 461
[1618510752355642] [ReadPayload] Pushing fragment: 462
[1618510752355648] [ReadPayload] Pushing fragment: 463
[1618510752355655] [ReadPayload] Pushing fragment: 464
[1618510752355661] [ReadPayload] Pushing fragment: 465
[1618510752355668] [ReadPayload] Pushing fragment: 466
[1618510752355675] [ReadPayload] Pushing fragment: 467
[1618510752355681] [ReadPayload] Pushing fragment: 468
[1618510752355688] [ReadPayload] Pushing fragment: 469
[1618510752355694] [ReadPayload] Pushing fragment: 470
[1618510752355700] [ReadPayload] Pushing fragment: 471
[1618510752355708] [ReadPayload] Pushing fragment: 472
[1618510752355714] [ReadPayload] Pushing fragment: 473
[1618510752355721] [ReadPayload] Pushing fragment: 474
[1618510752355728] [ReadPayload] Pushing fragment: 475
[1618510752355734] [ReadPayload] Pushing fragment: 476
[1618510752355740] [ReadPayload] Pushing fragment: 477
[1618510752355748] [ReadPayload] Pushing fragment: 478
[1618510752355754] [ReadPayload] Pushing fragment: 479
[1618510752355760] [ReadPayload] Pushing fragment: 480
[1618510752355768] [ReadPayload] Pushing fragment: 481
[1618510752355774] [ReadPayload] Pushing fragment: 482
[1618510752355780] [ReadPayload] Pushing fragment: 483
[1618510752355787] [ReadPayload] Pushing fragment: 484
[1618510752355793] [ReadPayload] Pushing fragment: 485
[1618510752355800] [ReadPayload] Pushing fragment: 486
[1618510752355807] [ReadPayload] Pushing fragment: 487
[1618510752355814] [ReadPayload] Pushing fragment: 488
[1618510752355820] [ReadPayload] Pushing fragment: 489
[1618510752355827] [ReadPayload] Pushing fragment: 490
[1618510752355833] [ReadPayload] Pushing fragment: 491
[1618510752355840] [ReadPayload] Pushing fragment: 492
[1618510752355846] [ReadPayload] Pushing fragment: 493
[1618510752355854] [ReadPayload] Pushing fragment: 494
[1618510752355860] [ReadPayload] Pushing fragment: 495
[1618510752355867] [ReadPayload] Pushing fragment: 496
[1618510752355874] [ReadPayload] Pushing fragment: 497
[1618510752355880] [ReadPayload] Pushing fragment: 498
[1618510752355887] [ReadPayload] Pushing fragment: 499
[1618510752355894] [ReadPayload] Pushing fragment: 500
